rmse,mae,mbe,r2,slope,intercept,resid_std,rmse_raw,mae_raw,mbe_raw,slope_raw,intercept_raw,mae_bin0,mbe_bin0,mae_bin1,mbe_bin1,mae_bin2,mbe_bin2,mae_bin3,mbe_bin3,mae_bin4,mbe_bin4,repeat_id,n_splits_requested,n_splits_used,n_bins_raw,n_bins_merged,bins_merged
3.779832765696876,2.4150791637219577,1.1950043582908523,0.8109598192452059,1.0599263167931452,0.5468949784208306,3.5859587728111935,3.779832765696876,2.4150791637219577,1.1950043582908523,1.0599263167931452,0.5468949784208306,1.3694628212747182,-1.3140327699196257,1.7899100071316685,0.11903234604487212,1.8264022395862882,1.045071222846994,2.087017730905877,1.3092253362379749,4.532691223882546,4.181118306864579,844,10,10,204,24,1
3.578961858070288,2.343403624636931,1.259021463175895,0.8305181901295869,1.059102023302633,0.6236104439890902,3.350198939881684,3.578961858070288,2.343403624636931,1.259021463175895,1.059102023302633,0.6236104439890902,1.2772505657791284,-1.1998140245814262,1.820282864932997,0.27108850778927474,1.8397150407826908,1.2872734825259124,2.2321571392554085,1.4996897496125277,4.1546795221309,3.885137434627278,845,10,10,201,24,1
3.343555945414424,2.2700168380235,1.0789083528830097,0.8520802576249572,1.0702432883305368,0.31106488228070006,3.164699531740006,3.343555945414424,2.2700168380235,1.0789083528830097,1.0702432883305368,0.31106488228070006,1.5358860280394357,-1.4725021043849011,1.7984959268869312,0.4904939513047288,1.7990726410376037,1.1851008096792632,2.001440615680022,0.9645104665870784,3.862052010217729,3.6222390240968534,846,10,10,208,24,1
3.417958881574286,2.23234423945887,1.1287141604324353,0.8454238021368935,1.0811658083265867,0.24551696209342566,3.2262125255741987,3.417958881574286,2.23234423945887,1.1287141604324353,1.0811658083265867,0.24551696209342566,1.4216502787094347,-1.3758179705578335,1.733468016890593,0.32871633983526555,1.6357538133886262,1.052318223599546,1.8022297504224531,1.121563674828705,4.1337857577539365,3.8948791939010308,847,10,10,201,24,1
3.5742641400060453,2.321378340788854,1.1785353632001967,0.8309628191940539,1.0512849920889396,0.6230382009510382,3.374376763228987,3.5742641400060453,2.321378340788854,1.1785353632001967,1.0512849920889396,0.6230382009510382,1.3067322851887577,-1.2230073390476932,1.787671186542944,0.3614784703135901,1.763562425583513,1.1775956905667808,2.2408831781940672,1.2307160113915259,4.123260085010841,3.77153910742259,848,10,10,208,24,1
3.4080328324078653,2.2086511741391432,1.1217677650957016,0.8463203038666922,1.0682655959302525,0.37846867002275886,3.218124433262669,3.4080328324078653,2.2086511741391432,1.1217677650957016,1.0682655959302525,0.37846867002275886,1.3471701065738897,-1.2687487210682669,1.6514625577905195,0.358932218860857,1.6468926217288198,1.1631997309383229,2.007254045943156,1.108767586265532,4.003234646932413,3.6711117127437958,849,10,10,207,24,1
3.82478437021394,2.450080510376781,1.3130745076482053,0.8064367680327359,1.0816288504906866,0.43988788796794154,3.592326657752225,3.82478437021394,2.450080510376781,1.3130745076482053,1.0816288504906866,0.43988788796794154,1.41498889083897,-1.3556671474633446,1.7845640198362642,0.29295470258262213,1.7222436157665775,1.0934666423477049,2.1174777293704268,1.347020296394706,4.714048041526744,4.493557374464496,850,10,10,204,24,1
3.8684885496303556,2.4344386947849936,1.350737570221778,0.8019879661810909,1.0646512372363757,0.6615960267196748,3.62501195515443,3.8684885496303556,2.4344386947849936,1.350737570221778,1.0646512372363757,0.6615960267196748,1.3922002863312142,-1.3413591981375967,1.70102249834024,0.4193357331734661,1.66895699106169,1.1559175165653581,2.152625614728866,1.4087614863754065,4.75795372681635,4.432285482552892,851,10,10,205,24,1
3.703776340392832,2.4277877588826366,1.2275629941856596,0.8184908766381416,1.0556538600015652,0.627472694855765,3.4944310373735603,3.703776340392832,2.4277877588826366,1.2275629941856596,1.0556538600015652,0.627472694855765,1.4275310060821451,-1.3732910016071487,1.8802415210492804,0.3964273503104764,1.7051073811778996,1.2215159423909063,2.1761638920510653,1.248758283869408,4.494603440035259,4.018376391511946,852,10,10,206,24,1
3.363291436800622,2.22936272239259,1.068083282966484,0.8503288980497745,1.057013431655531,0.4442408542731844,3.189189142949024,3.363291436800622,2.22936272239259,1.068083282966484,1.057013431655531,0.4442408542731844,1.3139087789067256,-1.2134517784381147,1.7783558311194325,0.23085101043339704,1.8165399442611285,1.2578504899826146,1.9921484672281773,1.0228691566229806,3.8753386719961287,3.498225069747839,853,10,10,208,24,1
