rmse,mae,mbe,r2,slope,intercept,resid_std,rmse_raw,mae_raw,mbe_raw,slope_raw,intercept_raw,mae_bin0,mbe_bin0,mae_bin1,mbe_bin1,mae_bin2,mbe_bin2,mae_bin3,mbe_bin3,mae_bin4,mbe_bin4,repeat_id,n_splits_requested,n_splits_used,n_bins_raw,n_bins_merged,bins_merged
57.015049552729785,37.017214084112794,4.134166555423906,0.9105631824272811,1.108751134512079,-121.74548224936734,56.8649676197239,57.015049552729785,37.017214084112794,4.134166555423906,1.108751134512079,-121.74548224936734,47.8091425437637,-40.980869786967745,28.072259493068845,-9.447807750090284,32.09903311745723,6.06830031755457,25.532942855628175,9.550039999540802,52.86404005695567,50.711560133769176,10,10,10,208,24,1
60.813503920178746,39.589177372193745,8.741195889984303,0.8982493061827058,1.0909485167041744,-96.1128858412801,60.18200522965746,60.813503920178746,39.589177372193745,8.741195889984303,1.0909485167041744,-96.1128858412801,44.00847878595019,-34.00741251557071,31.82026545916507,-4.7868179793537005,35.3775524898306,9.51287544444866,26.99370681406589,10.618208797892871,60.51259421415538,58.0054143427337,11,10,10,207,24,1
58.42134974534266,37.77355469322032,3.010423311309017,0.9060967770973776,1.1145234834272266,-129.67942553226953,58.34373537539721,58.42134974534266,37.77355469322032,3.010423311309017,1.1145234834272266,-129.67942553226953,51.449486289722465,-47.44747544890485,27.659936842435688,-9.281114818444447,30.954411767784958,7.255504720803404,29.902681875730835,11.05559617357827,50.449418679202665,48.024136770483445,12,10,10,208,24,1
60.99171344344855,39.04915769186027,7.666864263733745,0.8976520864832076,1.134434843016842,-147.4668092124566,60.50791932573146,60.99171344344855,39.04915769186027,7.666864263733745,1.134434843016842,-147.4668092124566,45.90793296003159,-41.56611192152858,30.666234516413095,-9.086384073876214,29.362276765945268,6.706061075537356,26.775578713481952,15.232868053617532,63.94337015478567,61.97610546241872,13,10,10,205,24,1
58.9017844687486,38.14927888467213,7.550378866465824,0.9045459786056023,1.0952179825577082,-102.33933549864105,58.41585394887026,58.9017844687486,38.14927888467213,7.550378866465824,1.0952179825577082,-102.33933549864105,44.854428284802324,-35.77177318034026,29.787484025768112,-6.371908708454761,34.07389163022941,9.428658459952713,28.38886210184531,13.196892888056722,54.486280793806614,52.637703721547545,14,10,10,208,24,1
56.31413197690015,36.88613413834412,4.7355429573836,0.9127486583569843,1.105102840865653,-116.85799251812159,56.11466914462299,56.31413197690015,36.88613413834412,4.7355429573836,1.105102840865653,-116.85799251812159,46.00326492961659,-40.87568539684962,27.805006093413514,-10.168471553133308,32.67246839270202,10.160970000904017,26.356716191312003,8.902484819547958,52.64750409868735,50.52604749298607,15,10,10,208,24,1
55.437614681054285,35.842608071516125,6.426332909583025,0.9154436171877179,1.0936764252781663,-101.78958881312565,55.06388441492532,55.437614681054285,35.842608071516125,6.426332909583025,1.0936764252781663,-101.78958881312565,43.219790067667866,-34.30908160553322,28.701421970253914,-6.421542643258374,30.197028119541073,6.517456944461571,27.222293110940022,14.027351944280351,50.92898770783672,48.050267107566405,16,10,10,208,24,1
59.02000742161278,38.4215467475745,5.618335330456985,0.9041624187048435,1.1077110681123066,-118.89757319839123,58.75198366150513,59.02000742161278,38.4215467475745,5.618335330456985,1.1077110681123066,-118.89757319839123,48.22452841240945,-40.03217347370178,31.471895336093155,-9.91688564568082,31.445091381712018,7.155937810337143,29.57256584604848,14.879324802140822,52.78687604379216,51.03038302238935,17,10,10,208,24,1
55.063528199725674,36.55395214674016,5.72782015009411,0.9165809199892669,1.0985969608926724,-108.2412236245475,54.76480817212966,55.063528199725674,36.55395214674016,5.72782015009411,1.0985969608926724,-108.2412236245475,42.58940891405375,-34.91525347046652,28.401038982924263,-7.107794138816265,31.81872546131245,5.599041173151646,27.34871332642227,9.226590270516745,53.448671747068566,51.71380047366659,18,10,10,208,24,1
56.08273614946668,36.551797497716,7.338123643628004,0.9134642200098488,1.100612164554067,-108.79829461508143,55.60058664619938,56.08273614946668,36.551797497716,7.338123643628004,1.100612164554067,-108.79829461508143,44.750367847634145,-35.403348008030775,28.27206225802315,-6.432172485155104,28.966206734850676,8.822046393191744,29.248292795329537,14.754195887262378,52.728811715062456,50.35710501257244,19,10,10,209,24,1
